Address,Latitude,Longitude
"Tung Hei Court, Shau Kei Wan, Hong Kong",22.280624,114.219681
"South Wave Court, Aberdeen, Hong Kong",22.244486,114.165979
"Tin Ma Court, Central Kowloon, Hong Kong",22.34367541,114.1858286
"Rhythm Garden, Choi Hung, Hong Kong",22.33577552,114.2033641
"Tsui Chuk Garden, Chuk Yuen, Hong Kong",22.34655691,114.1878289
"Tung Tau (II) Estate, Kowloon Central, Hong Kong",22.33388231,114.191822
"Tak Keung Court, Lok Fu, Hong Kong",22.33913638,114.1861015
"Lower Wong Tai Sin (1) Estate, Wong Tai Sin, Hong Kong",22.33922093,114.193667
"Lai Yan Court, Lai Chi Kok, Hong Kong",22.34328255,114.1367579
"Kwai Yin Court, Tai Wo Hau, Hong Kong",22.37000614,114.1258105
"Yuk Po Court, Shek Wu Hui, Hong Kong",22.50069419,114.1274578
"Hin Keng Estate, Shatin, Hong Kong",22.36414336,114.1731483
"Kwong Yuen Estate, Shatin, Hong Kong",22.36417844,114.1731483
"Wah Kwai Estate, Aberdeen, Hong Kong",22.25034088,114.1402691
"Tin Wang Court, Chuk Yuen, Hong Kong",22.34417945,114.1869724
"Tai Ping Estate, Fanling, Hong Kong",22.49829672,114.1267872
"Tung Yan Court, Shau Kei Wan, Hong Kong",22.2809222,114.2218318
"Lung Tak Court, Stanley, Hong Kong",22.22091927,114.2076086
"On Shing Court, Sheung Shui, Hong Kong",22.50266367,114.1350353
"Kam Lung Court, Ma On Shan, Hong Kong",22.42620391,114.240603
"Holford Gardens, Sha Tin, Hong Kong",22.3734697,114.1761087
"Tung Lam Court, Shau Kei Wan, Hong Kong",22.28223341,114.2263455
"Kai Tai Court, East Kowloon, Hong Kong",22.32836563,114.2110674
"Choi Hing Court, Ngau Tau Kok, Hong Kong",22.33188554,114.2144122
"Lung Yan Court, Stanley, Hong Kong",22.22157106,114.2053537
"Shan Lai Court, Fanling, Hong Kong",22.50347146,114.1610894
